Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
1314.614,3291.761,1.547864,-15.22542,291.0865,52.82884,0,0,
1354.715,3172.783,-29.76863,-0.2323402,212.5843,96.4504,0,0,
1187.18,3380.277,-18.83191,-22.34604,292.8229,22.41624,0,0,
1284.903,3136.978,7.615879,11.93013,285.1732,-2.128991,0,0,
1402.563,3065.084,38.35096,-15.26853,259.0539,60.09535,0,0,
1337.594,3251.765,-18.16245,-0.3898152,254.9623,68.90675,0,0,
1352.689,3200.862,-17.35494,-41.35419,221.9074,36.38724,0,0,
1280.095,3158.016,12.29827,-9.608619,272.5757,23.21599,0,0,
1331.34,3186.105,17.8692,-19.59964,295.4436,2.522917,0,0,
1323.014,3155.516,-21.45057,-18.49599,185.1608,91.47211,0,0,
1409.45,3090.564,6.308143,3.639564,237.7546,49.85426,0,0,
1299.057,3119.257,1.698112,84.92622,326.4485,1.413415,0,0,
1353.968,3223.614,-11.4341,28.17339,237.1792,49.65385,0,0,
1416.774,3188.474,5.238682,58.98012,287.9288,27.71198,0,0,
1392.929,3183.854,-39.90977,37.45694,261.6953,30.66926,0,0,
1324.405,3143.167,17.78523,-32.87502,221.4515,63.34375,0,0,
1237.733,3238.719,-12.41158,-37.48438,181.2195,98.79866,0,0,
1303.473,3072.67,1.032806,-46.17131,224.0757,37.4417,0,0,
1300.377,3296.121,0.2634948,23.00208,254.3612,18.11296,0,0,
1255.302,3284.849,-33.40169,-52.64229,221.53,93.55669,0,0,
1277.466,3162.997,-22.92951,0.6957278,252.201,44.65205,0,0,
1294.501,3131.099,27.85235,-12.29464,298.6682,-23.45984,0,0,
1329.688,3137.384,-20.22997,-14.99807,240.0886,60.44198,0,0,
1375.487,3181.968,-2.213482,20.07102,241.1128,40.82582,0,0,
1256.004,3364.767,23.0591,9.169768,325.7755,-8.781404,0,0,
1373.938,3163.124,-14.3321,-12.09783,197.5129,131.5432,0,0,
1351.165,3101.298,0.3536284,-40.65917,275.1394,12.24773,0,0,
1378.386,3150.805,-2.647775,31.6627,307.5048,55.1288,0,0,
1327.787,3269.973,-20.65276,-4.21792,218.5809,56.0425,0,0,
1279.437,3252.412,-19.32773,39.74727,314.5986,-0.4336097,0,0,
1368.397,3512.593,-10.06439,-16.78658,308.9565,40.35432,0,0,
1346.819,3139.245,-13.38207,-12.87818,212.9743,48.13786,0,0,
1404.318,3306.408,12.7331,19.09384,321.3807,-10.37536,0,0,
1285.035,3135.712,-5.23717,11.75566,173.6274,76.84439,0,0,
1246.243,3312.318,8.514759,19.90784,287.6076,1.592732,0,0,
1239.401,3052.417,-3.933303,-14.56647,251.461,19.08829,0,0,
1194.774,3263.896,6.528866,-17.91188,207.2511,78.2009,0,0,
1285.261,3208.17,-7.7058,1.724855,211.3864,12.07527,0,0,
1309.906,3267.271,5.334858,-6.625407,294.3923,12.66866,0,0,
1325.259,3075.572,9.805463,15.07652,232.6035,74.75745,0,0,
1284.474,3645.727,-7.950031,-21.87971,253.5781,104.3686,0,0,
1315.396,3646.483,-18.76281,-4.738441,297.9273,49.0057,0,0,
1377.15,3041.736,-12.82586,-12.13873,275.6719,17.71925,0,0,
1318.902,3172.333,-29.73128,-26.19506,196.3009,81.51084,0,0,
1271.18,3167.039,-6.478229,-6.305634,310.5583,10.81765,0,0,
1307.244,3152.584,8.376775,-38.57817,301.522,25.95275,0,0,
1362.97,3125.956,-32.01277,-16.3056,237.4348,46.92911,0,0,
1304.077,3179.884,-16.22366,3.65636,220.4095,37.16911,0,0,
1263.637,3049.508,-21.67818,1.862288,252.2277,17.90031,0,0,
1360.028,3174.863,-24.46394,34.41963,270.5114,34.814,0,0,
1214.346,3266.717,-14.20393,-11.35935,249.3136,55.35864,0,0,
1364.463,3220.287,-13.63721,6.055814,236.8199,92.44064,0,0,
1320.576,3198.719,-7.31989,-5.823893,270.1755,11.36113,0,0,
1273.323,3203.846,-18.74549,21.70522,237.2728,55.19505,0,0,
1308.456,3134.81,5.549791,26.87938,275.4683,-12.12378,0,0,
1362.489,3166.693,-11.71023,3.571725,240.7152,50.34013,0,0,
1401.288,3157.882,19.87599,5.995038,215.8187,57.72688,0,0,
1260.983,3204.67,-27.46894,49.0489,206.7966,54.11238,0,0,
1327.005,3209.29,-3.425785,28.04681,234.7815,53.07137,0,0,
1295.008,3101.712,-30.37984,-14.92297,211.3347,82.74647,0,0,
1243.325,3134.097,-2.441758,-14.82062,232.2005,90.74976,0,0,
1221.141,3153.766,9.947919,-13.49847,280.9229,44.10947,0,0,
1269.864,3315.945,-28.94344,-12.16313,146.5423,135.232,0,0,
1322.425,3400.603,-15.12702,31.59887,248.3198,76.22321,0,0,
1353.89,3194.896,14.75203,61.28437,294.0038,13.14084,0,0,
1215.689,3285.848,18.457,-39.31651,232.8317,74.6425,0,0,
1384.027,3110.524,7.746086,20.61152,217.3854,82.58778,0,0,
1334.576,3206.464,15.21242,-33.18934,257.3353,28.0421,0,0,
3939.606,3609.415,-21.47917,11.39522,323.5669,47.08401,1,0,
1269.184,3179.24,-7.780484,5.389566,222.5924,50.82223,0,0,
1216.311,3278.037,-6.47788,39.44242,287.0327,19.23515,0,0,
1282.436,3252.604,-21.64313,12.24219,301.1458,58.44651,0,0,
1385.618,3156.604,-10.14556,27.3503,265.7553,-6.683831,0,0,
1307.417,3218.263,-21.90341,-41.14502,292.5235,14.95843,0,0,
1402.542,3195.685,-4.217533,16.1235,226.185,78.639,0,0,
1297.007,3225.588,-15.67822,7.886474,285.8148,49.66883,0,0,
1374.397,3141.021,10.83376,-15.79478,231.2036,76.06025,0,0,
1318.529,3187.324,-11.24741,14.83967,237.6493,48.95927,0,0,
1281.792,3091.028,-41.57814,-5.172161,198.2592,39.02085,0,0,
1366.6,3134.602,-27.81602,8.186817,194.8463,95.90673,0,0,
1308.987,3235.814,-21.70683,10.11411,277.1694,-0.3658869,0,0,
1334.031,3129.054,11.02886,-17.38436,226.5588,34.33977,0,0,
1366.655,3106.817,-2.528773,32.80365,281.6942,-2.93928,0,0,
1210.072,3224.97,-34.26295,-32.76947,247.81,49.89837,0,0,
1262.156,3213.504,-18.0762,-8.796868,208.8724,62.35265,0,0,
1208.971,3218.201,-7.562043,-50.52115,193.2328,82.08733,0,0,
1335.172,3068.044,-23.2281,-12.67882,182.1702,74.89856,0,0,
1318.643,3126.833,-43.58245,-3.219545,238.3058,71.82905,0,0,
1361.885,3047.713,-24.48376,-45.65992,210.1996,68.57687,0,0,
1330.586,3328.494,-25.14709,-7.976875,227.7741,62.07591,0,0,
1325.089,3134.836,9.069011,-19.13319,207.1404,34.81855,0,0,
1342.967,3132.324,-10.89933,-29.74408,276.6031,37.48458,0,0,
1318.596,3292.237,-33.92499,-26.66426,226.1934,91.52905,0,0,
1445.72,3033.268,8.752278,-1.008555,301.9612,48.74607,0,0,
1358.853,3158.685,-17.76362,-19.79284,214.8419,42.74562,0,0,
1393.066,3174.376,18.96354,-5.918496,319.0432,17.33924,0,0,
1260.459,3185.77,-14.02322,43.5632,260.9331,12.69603,0,0,
1282.552,2949.037,-19.08596,-7.706886,214.1193,64.48712,0,0,
1326.506,3151.311,1.16432,12.2184,252.2405,75.9525,0,0,
1375.773,3091.517,-24.5599,-44.81594,242.9804,27.8382,0,0,
1363.391,3053.331,-4.041723,-1.697154,231.6973,61.7912,0,0,
1267.532,3061.658,9.051576,29.70345,206.3166,89.25848,0,0,
1202.054,3422.231,-31.72572,27.75998,246.534,37.03853,0,0,
1229.438,3250.319,-19.08969,-14.17096,246.1171,57.51464,0,0,
1323.068,3086.928,-15.09423,-41.70198,205.5243,74.66482,0,0,
1287.636,3171.793,-2.439354,-1.552967,249.0024,46.82242,0,0,
1285.914,3217.434,-35.40015,-17.06823,209.4127,57.23715,0,0,
1315.239,3144.498,15.89891,-21.03848,326.5765,-9.003426,0,0,
1203.502,3244.37,-4.601578,0.3998268,180.5373,103.5111,0,0,
1241.7,3401.334,-23.6115,37.76433,169.9801,79.07232,0,0,
1356.876,3134.483,-3.918187,-8.551733,264.7993,68.28165,0,0,
1248.561,3241.686,-34.3684,-33.63603,225.7651,80.90931,0,0,
1304.069,3212.479,-5.108366,18.3283,207.9182,52.33984,0,0,
1327.356,3122.549,-28.7124,11.46654,190.5597,84.40372,0,0,
1295.996,3155.956,-25.11481,13.70112,230.0054,84.34722,0,0,
1406.92,3201.429,-9.178596,29.10524,230.576,30.63741,0,0,
1350.894,3103.85,-29.54008,24.04358,233.3865,49.91367,0,0,
1307.87,3309.04,-20.88491,4.49475,241.5894,65.68999,0,0,
1400.792,3142.545,21.91962,-28.90173,253.0259,6.696658,0,0,
1246.736,3215.041,-7.242716,10.99601,303.321,26.58456,0,0,
1291.185,3305.64,-37.72729,-57.80283,199.5604,60.97605,0,0,
1477.823,3111.414,4.863374,9.214967,203.7923,93.01487,0,0,
1292.199,3218.891,-6.54465,-22.00617,304.5203,42.27641,0,0,
1323.041,3103.156,-24.84899,-9.268459,214.8435,83.10165,0,0,
1391.751,3200.536,3.62671,28.72963,293.4458,12.63488,0,0,
1327.184,3071.718,-9.660577,-23.17326,238.3105,94.61641,0,0,
1264.295,3139.801,0.7812837,23.70488,281.9034,10.44647,0,0,
1191.283,3339.064,-9.720116,-10.47553,229.4225,57.37107,0,0,
1349.077,3152.914,-21.15408,-5.784194,195.9906,140.3456,0,0,
1386.061,3118.027,10.1955,17.49966,252.4523,35.39041,0,0,
1226.281,2903.849,-7.676249,-65.18769,245.4747,21.38256,0,0,
1163.874,3258.074,-22.58288,37.12446,139.9961,88.42073,0,0,
1306.645,3297.592,8.10735,-5.915299,297.6809,18.49523,0,0,
1308.263,3124.527,-16.2972,-8.331899,269.3798,39.83578,0,0,
1386.07,3090.936,-18.57132,-27.04539,249.3298,14.11356,0,0,
1313.453,3192.988,-21.87181,-27.89113,195.3975,76.28076,0,0,
1273.254,3283.282,-2.682453,-14.82334,234.8736,50.39096,0,0,
1341.015,3114.605,-9.904439,-22.77377,191.0259,74.45354,0,0,
1267.669,3138.097,-1.918513,-21.21755,256.3073,84.29265,0,0,
1271.253,3086.531,-24.90719,66.35623,267.1733,63.03873,0,0,
1280.589,3337.234,-1.700725,-0.03493398,268.1031,41.2662,0,0,
1288.806,3080.016,10.41337,13.35644,279.2399,30.82715,0,0,
1282.361,3155.565,-39.12679,-44.83911,236.8243,57.26485,0,0,
1297.479,3173.556,-16.67845,-23.02237,259.6919,64.96906,0,0,
1230.451,3224.656,-13.53272,14.41104,280.9498,28.92225,0,0,
1250.036,3072.523,-5.789114,1.555295,215.2068,36.55381,0,0,
1229.802,3427.07,-58.13068,3.34467,215.5887,78.06721,0,0,
1251.215,3198.329,-0.8550918,-26.71523,226.6895,96.36528,0,0,
1443.934,3181.565,-5.480611,21.42393,228.1154,31.99137,0,0,
1277.943,3174.485,18.54586,-15.92345,257.7591,63.68166,0,0,
1250.802,3213.545,-14.21934,-3.07076,194.7245,97.98534,0,0,
1348.483,3120.877,-27.35794,-30.75696,247.9533,65.60207,0,0,
1204.764,3330.906,21.08684,-56.90845,289.0818,4.093588,0,0,
1219.034,3291.331,-29.23514,-1.450471,271.8976,48.36327,0,0,
1323.109,3234.548,6.676198,1.429446,202.7999,33.80013,0,0,
1279.094,3175.704,5.36209,27.70783,206.8113,61.90211,0,0,
