Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
413.8763,2523.517,1.045521,-10.45791,238.6836,17.54765,0,0,
403.2405,2497.758,7.15732,16.48535,274.987,0.8103448,0,0,
298.1955,2655.392,7.113616,3.054778,228.393,39.96774,0,0,
198.0164,2755.646,-3.937566,18.31935,212.8767,22.63579,0,0,
297.5436,2625.505,-2.17288,12.82923,249.6069,29.21297,0,0,
323.1745,2666.234,-2.962821,41.78913,251.01,50.08824,0,0,
354.7578,2628.638,-17.48699,5.230936,217.7919,72.05958,0,0,
358.1417,2535.138,6.821607,2.215029,234.77,23.23468,0,0,
304.9033,2521.121,-3.623867,-26.55195,194.0787,55.35148,0,0,
416.2956,2550.141,20.39256,-15.15092,235.9974,0.6350168,0,0,
287.5356,2683.025,-24.34842,-27.96278,204.9919,45.90766,0,0,
337.6872,2695.721,3.019727,-7.113595,238.5654,16.41353,0,0,
328.9735,2676.479,-30.14527,39.11423,226.3681,42.76896,0,0,
415.0504,2615.985,8.752,-19.4761,277.6688,25.51776,0,0,
272.7906,2749.448,22.26982,-14.42746,259.9205,29.06734,0,0,
212.474,2796.711,-33.21897,29.20484,163.6305,65.94843,0,0,
334.245,2589.181,-34.25153,-17.20439,225.7728,11.15034,0,0,
301.9307,2589.157,-5.219701,-52.45946,218.5112,46.43692,0,0,
295.4925,2739.405,18.2593,-1.420678,210.7632,18.53617,0,0,
290.4734,2673.766,-6.582391,30.61798,237.2423,38.23394,0,0,
353.6758,2596.208,7.328979,29.89007,172.3534,105.9992,0,0,
310.2336,2722.462,-15.60932,-9.854798,193.5511,39.14752,0,0,
345.0532,2691.098,-46,-66.07514,176.0022,95.17616,0,0,
387.9681,2560.783,-14.12096,-17.86342,209.8109,47.85183,0,0,
400.6699,2561.534,15.22594,-22.32596,243.1655,42.73515,0,0,
370.5494,2564.01,12.37075,-22.25846,215.073,64.7039,0,0,
305.9428,2680.044,-0.8085753,86.66322,206.2871,75.25109,0,0,
